1779792814.736403 server started (1080152): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779792814.736424 on Linux 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025
1779792814.736431 using libevent 2.1.12-stable poll
1779792814.736434 using ncurses 6.4 20240113
1779792814.764979 cmd_parse_build_commands 0:3 0:2: -xM
1779792814.764982 cmd_parse_build_commands 0:3 0:3: -yW
1779792814.764985 cmd_parse_build_commands 0:3 0:4: -T
1779792814.764989 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{session_name}
1779792814.764992 cmd_parse_build_commands 0:3 0:6: Next
1779792814.764995 cmd_parse_build_commands 0:3 0:7: n
1779792814.764998 cmd_parse_build_commands 0:3 0:8 0:0: switch-client
1779792814.765001 cmd_parse_build_commands 0:3 0:8 0:1: -n
1779792814.765004 cmd_parse_build_commands 0:3 0:9: Previous
1779792814.765007 cmd_parse_build_commands 0:3 0:10: p
1779792814.765011 cmd_parse_build_commands 0:3 0:11 0:0: switch-client
1779792814.765014 cmd_parse_build_commands 0:3 0:11 0:1: -p
1779792814.765017 cmd_parse_build_commands 0:3 0:12: 
1779792814.765020 cmd_parse_build_commands 0:3 0:13: Renumber
1779792814.765023 cmd_parse_build_commands 0:3 0:14: N
1779792814.765026 cmd_parse_build_commands 0:3 0:15 0:0: move-window
1779792814.765030 cmd_parse_build_commands 0:3 0:15 0:1: -r
1779792814.765033 cmd_parse_build_commands 0:3 0:16: Rename
1779792814.765035 cmd_parse_build_commands 0:3 0:17: n
1779792814.765039 cmd_parse_build_commands 0:3 0:18 0:0: command-prompt
1779792814.765042 cmd_parse_build_commands 0:3 0:18 0:1: -I
1779792814.765045 cmd_parse_build_commands 0:3 0:18 0:2: #S
1779792814.765048 cmd_parse_build_commands 0:3 0:18 0:3 0:0: rename-session
1779792814.765051 cmd_parse_build_commands 0:3 0:18 0:3 0:1: --
1779792814.765055 cmd_parse_build_commands 0:3 0:18 0:3 0:2: %%
1779792814.765058 cmd_parse_build_commands 0:3 0:19: 
1779792814.765061 cmd_parse_build_commands 0:3 0:20: New Session
1779792814.765064 cmd_parse_build_commands 0:3 0:21: s
1779792814.765067 cmd_parse_build_commands 0:3 0:22 0:0: new-session
1779792814.765070 cmd_parse_build_commands 0:3 0:23: New Window
1779792814.765073 cmd_parse_build_commands 0:3 0:24: w
1779792814.765077 cmd_parse_build_commands 0:3 0:25 0:0: new-window
1779792814.765081 cmd_parse_build_commands 0:0: display-menu
1779792814.765084 cmd_parse_build_commands 0:1: -t=
1779792814.765087 cmd_parse_build_commands 0:2: -xM
1779792814.765090 cmd_parse_build_commands 0:3: -yW
1779792814.765093 cmd_parse_build_commands 0:4: -T
1779792814.765096 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1779792814.765099 cmd_parse_build_commands 0:6: Next
1779792814.765102 cmd_parse_build_commands 0:7: n
1779792814.765105 cmd_parse_build_commands 0:8 0:0: switch-client
1779792814.765112 cmd_parse_build_commands 0:8 0:1: -n
1779792814.765115 cmd_parse_build_commands 0:9: Previous
1779792814.765118 cmd_parse_build_commands 0:10: p
1779792814.765121 cmd_parse_build_commands 0:11 0:0: switch-client
1779792814.765124 cmd_parse_build_commands 0:11 0:1: -p
1779792814.765127 cmd_parse_build_commands 0:12: 
1779792814.765130 cmd_parse_build_commands 0:13: Renumber
1779792814.765133 cmd_parse_build_commands 0:14: N
1779792814.765136 cmd_parse_build_commands 0:15 0:0: move-window
1779792814.765139 cmd_parse_build_commands 0:15 0:1: -r
1779792814.765142 cmd_parse_build_commands 0:16: Rename
1779792814.765145 cmd_parse_build_commands 0:17: n
1779792814.765149 cmd_parse_build_commands 0:18 0:0: command-prompt
1779792814.765152 cmd_parse_build_commands 0:18 0:1: -I
1779792814.765155 cmd_parse_build_commands 0:18 0:2: #S
1779792814.765158 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1779792814.765161 cmd_parse_build_commands 0:18 0:3 0:1: --
1779792814.765164 cmd_parse_build_commands 0:18 0:3 0:2: %%
1779792814.765167 cmd_parse_build_commands 0:19: 
1779792814.765170 cmd_parse_build_commands 0:20: New Session
1779792814.765173 cmd_parse_build_commands 0:21: s
1779792814.765176 cmd_parse_build_commands 0:22 0:0: new-session
1779792814.765180 cmd_parse_build_commands 0:23: New Window
1779792814.765182 cmd_parse_build_commands 0:24: w
1779792814.765186 cmd_parse_build_commands 0:25 0:0: new-window
1779792814.765190 cmd_parse_build_commands 0:0: switch-client
1779792814.765193 cmd_parse_build_commands 0:1: -n
1779792814.765199 args_parse_flags: next -n
1779792814.765202 args_parse_flags: -n
1779792814.765205 args_parse: flags end at 2 of 2
1779792814.765212 cmd_parse_build_commands: switch-client -n
1779792814.765216 cmd_parse_build_commands 0:0: switch-client
1779792814.765219 cmd_parse_build_commands 0:1: -p
1779792814.765236 args_parse_flags: next -p
1779792814.765241 args_parse_flags: -p
1779792814.765245 args_parse: flags end at 2 of 2
1779792814.765249 cmd_parse_build_commands: switch-client -p
1779792814.765252 cmd_parse_build_commands 0:0: move-window
1779792814.765255 cmd_parse_build_commands 0:1: -r
1779792814.765258 args_parse_flags: next -r
1779792814.765261 args_parse_flags: -r
1779792814.765264 args_parse: flags end at 2 of 2
1779792814.765267 cmd_parse_build_commands: move-window -r
1779792814.765271 cmd_parse_build_commands 0:0: command-prompt
1779792814.765274 cmd_parse_build_commands 0:1: -I
1779792814.765276 cmd_parse_build_commands 0:2: #S
1779792814.765279 cmd_parse_build_commands 0:3 0:0: rename-session
1779792814.765282 cmd_parse_build_commands 0:3 0:1: --
1779792814.765285 cmd_parse_build_commands 0:3 0:2: %%
1779792814.765288 cmd_parse_build_commands 0:0: rename-session
1779792814.765291 cmd_parse_build_commands 0:1: --
1779792814.765294 cmd_parse_build_commands 0:2: %%
1779792814.765298 args_parse_flags: next --
1779792814.765301 args_parse: flags end at 2 of 3
1779792814.765304 args_parse: 2 = %% (type STRING)
1779792814.765308 cmd_parse_build_commands: rename-session "%%"
1779792814.765312 args_parse_flags: next -I
1779792814.765315 args_parse_flag_argument: -I = #S
1779792814.765318 args_parse: flags end at 3 of 4
1779792814.765322 args_parse: 3 = rename-session "%%" (type COMMANDS)
1779792814.765328 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1779792814.765332 cmd_parse_build_commands 0:0: new-session
1779792814.765337 args_parse: flags end at 1 of 1
1779792814.765342 cmd_parse_build_commands: new-session
1779792814.765350 cmd_parse_build_commands 0:0: new-window
1779792814.765354 args_parse: flags end at 1 of 1
1779792814.765358 cmd_parse_build_commands: new-window
1779792814.765362 args_parse_flags: next -t=
1779792814.765365 args_parse_flag_argument: -t = =
1779792814.765368 args_parse_flags: next -xM
1779792814.765372 args_parse_flag_argument: -x = M
1779792814.765375 args_parse_flags: next -yW
1779792814.765378 args_parse_flag_argument: -y = W
1779792814.765381 args_parse_flags: next -T
1779792814.765389 args_parse_flag_argument: -T = #[align=centre]#{session_name}
1779792814.765393 args_parse_flags: next Next
1779792814.765396 args_parse: flags end at 6 of 26
1779792814.765400 args_parse: 6 = Next (type STRING)
1779792814.765403 args_parse: 7 = n (type STRING)
1779792814.765408 args_parse: 8 = switch-client -n (type COMMANDS)
1779792814.765411 args_parse: 9 = Previous (type STRING)
1779792814.765415 args_parse: 10 = p (type STRING)
1779792814.765420 args_parse: 11 = switch-client -p (type COMMANDS)
1779792814.765423 args_parse: 12 =  (type STRING)
1779792814.765427 args_parse: 13 = Renumber (type STRING)
1779792814.765430 args_parse: 14 = N (type STRING)
1779792814.765435 args_parse: 15 = move-window -r (type COMMANDS)
1779792814.765438 args_parse: 16 = Rename (type STRING)
1779792814.765442 args_parse: 17 = n (type STRING)
1779792814.765449 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1779792814.765452 args_parse: 19 =  (type STRING)
1779792814.765456 args_parse: 20 = New Session (type STRING)
1779792814.765460 args_parse: 21 = s (type STRING)
1779792814.765464 args_parse: 22 = new-session (type COMMANDS)
1779792814.765467 args_parse: 23 = New Window (type STRING)
1779792814.765471 args_parse: 24 = w (type STRING)
1779792814.765475 args_parse: 25 = new-window (type COMMANDS)
1779792814.765503 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
1779792814.765513 args_parse_flags: next -n
1779792814.765516 args_parse_flags: -n
1779792814.765519 args_parse_flags: next M-MouseDown3StatusLeft
1779792814.765522 args_parse: flags end at 2 of 4
1779792814.765525 args_parse: 2 = M-MouseDown3StatusLeft (type STRING)
1779792814.765551 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1779792814.765579 cmd_parse_build_commands: bind-key -n M-MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } }
1779792814.765586 cmdq_get_command: [bind-key/0x648c98b34c00] group 990
1779792814.765589 cmdq_append <global>: [bind-key/0x648c98b34c00]
1779792814.765595 yylex_token: end at WS
1779792814.765598 yylex_token: bind
1779792814.765601 yylex_token: end at WS
1779792814.765604 yylex_token: -n
1779792814.765607 yylex_token: end at WS
1779792814.765610 yylex_token: MouseDown3Status
1779792814.765614 yylex_token: end at WS
1779792814.765616 yylex_token: display-menu
1779792814.765619 yylex_token: end at WS
1779792814.765622 yylex_token: -t=
1779792814.765625 yylex_token: end at WS
1779792814.765628 yylex_token: -xW
1779792814.765631 yylex_token: end at WS
1779792814.765633 yylex_token: -yW
1779792814.765636 yylex_token: end at WS
1779792814.765639 yylex_token: -T
1779792814.765644 yylex_token: end at WS
1779792814.765647 yylex_token: #[align=centre]#{window_index}:#{window_name}
1779792814.765651 yylex_token: end at WS
1779792814.765654 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1779792814.765657 yylex_token: end at WS
1779792814.765660 yylex_token: l
1779792814.765663 yylex_token: end at WS
1779792814.765666 yylex_token: swap-window
1779792814.765669 yylex_token: end at }
1779792814.765672 yylex_token: -t:-1
1779792814.765677 yylex_token: end at WS
1779792814.765680 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1779792814.765683 yylex_token: end at WS
1779792814.765686 yylex_token: r
1779792814.765689 yylex_token: end at WS
1779792814.765697 yylex_token: swap-window
1779792814.765700 yylex_token: end at }
1779792814.765704 yylex_token: -t:+1
1779792814.765709 yylex_token: end at WS
1779792814.765712 yylex_token: #{?pane_marked_set,,-}Swap Marked
1779792814.765715 yylex_token: end at WS
1779792814.765718 yylex_token: s
1779792814.765721 yylex_token: end at }
1779792814.765724 yylex_token: swap-window
1779792814.765727 yylex_token: end at WS
1779792814.765729 yylex_token: 
1779792814.765732 yylex_token: end at WS
1779792814.765735 yylex_token: Kill
1779792814.765738 yylex_token: end at WS
1779792814.765741 yylex_token: X
1779792814.765744 yylex_token: end at }
1779792814.765747 yylex_token: kill-window
1779792814.765750 yylex_token: end at WS
1779792814.765753 yylex_token: Respawn
1779792814.765756 yylex_token: end at WS
1779792814.765759 yylex_token: R
1779792814.765762 yylex_token: end at WS
1779792814.765765 yylex_token: respawn-window
1779792814.765768 yylex_token: end at }
1779792814.765771 yylex_token: -k
1779792814.765775 yylex_token: end at WS
1779792814.765778 yylex_token: #{?pane_marked,Unmark,Mark}
1779792814.765781 yylex_token: end at WS
1779792814.765784 yylex_token: m
1779792814.765788 yylex_token: end at WS
1779792814.765791 yylex_token: select-pane
1779792814.765794 yylex_token: end at }
1779792814.765797 yylex_token: -m
1779792814.765801 yylex_token: end at WS
1779792814.765804 yylex_token: Rename
1779792814.765807 yylex_token: end at WS
1779792814.765810 yylex_token: n
1779792814.765814 yylex_token: end at WS
1779792814.765817 yylex_token: command-prompt
1779792814.765820 yylex_token: end at WS
1779792814.765823 yylex_token: -FI
1779792814.765827 yylex_token: end at WS
1779792814.765829 yylex_token: #W
1779792814.765833 yylex_token: end at WS
1779792814.765836 yylex_token: rename-window
1779792814.765840 yylex_token: end at WS
1779792814.765842 yylex_token: -t
1779792814.765846 yylex_token: end at WS
1779792814.765849 yylex_token: #{window_id}
1779792814.765852 yylex_token: end at WS
1779792814.765855 yylex_token: --
1779792814.765859 yylex_token: end at }
1779792814.765862 yylex_token: %%
1779792814.765866 yylex_token: end at WS
1779792814.765869 yylex_token: 
1779792814.765872 yylex_token: end at WS
1779792814.765875 yylex_token: New After
1779792814.765878 yylex_token: end at WS
1779792814.765881 yylex_token: w
1779792814.765885 yylex_token: end at WS
1779792814.765888 yylex_token: new-window
1779792814.765891 yylex_token: end at }
1779792814.765894 yylex_token: -a
1779792814.765898 yylex_token: end at WS
1779792814.765901 yylex_token: New At End
1779792814.765904 yylex_token: end at WS
1779792814.765907 yylex_token: W
1779792814.765911 yylex_token: end at }
1779792814.765914 yylex_token: new-window
1779792814.765919 cmd_parse_build_commands 0:0: bind
1779792814.765923 cmd_parse_build_commands 0:1: -n
1779792814.765926 cmd_parse_build_commands 0:2: MouseDown3Status
1779792814.765930 cmd_parse_build_commands 0:3 0:0: display-menu
1779792814.765933 cmd_parse_build_commands 0:3 0:1: -t=
1779792814.765936 cmd_parse_build_commands 0:3 0:2: -xW
1779792814.765939 cmd_parse_build_commands 0:3 0:3: -yW
1779792814.765943 cmd_parse_build_commands 0:3 0:4: -T
1779792814.765947 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1779792814.765950 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1779792814.765954 cmd_parse_build_commands 0:3 0:7: l
1779792814.765957 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1779792814.765961 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1779792814.765965 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1779792814.765968 cmd_parse_build_commands 0:3 0:10: r
1779792814.765972 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1779792814.765975 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1779792814.765979 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1779792814.765982 cmd_parse_build_commands 0:3 0:13: s
1779792814.765986 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1779792814.765990 cmd_parse_build_commands 0:3 0:15: 
1779792814.765998 cmd_parse_build_commands 0:3 0:16: Kill
1779792814.766001 cmd_parse_build_commands 0:3 0:17: X
1779792814.766005 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1779792814.766008 cmd_parse_build_commands 0:3 0:19: Respawn
1779792814.766012 cmd_parse_build_commands 0:3 0:20: R
1779792814.766015 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1779792814.766019 cmd_parse_build_commands 0:3 0:21 0:1: -k
1779792814.766022 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1779792814.766025 cmd_parse_build_commands 0:3 0:23: m
1779792814.766029 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1779792814.766032 cmd_parse_build_commands 0:3 0:24 0:1: -m
1779792814.766036 cmd_parse_build_commands 0:3 0:25: Rename
1779792814.766039 cmd_parse_build_commands 0:3 0:26: n
1779792814.766042 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1779792814.766046 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1779792814.766049 cmd_parse_build_commands 0:3 0:27 0:2: #W
1779792814.766053 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1779792814.766056 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1779792814.766059 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1779792814.766063 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1779792814.766066 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1779792814.766069 cmd_parse_build_commands 0:3 0:28: 
1779792814.766073 cmd_parse_build_commands 0:3 0:29: New After
1779792814.766076 cmd_parse_build_commands 0:3 0:30: w
1779792814.766080 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1779792814.766083 cmd_parse_build_commands 0:3 0:31 0:1: -a
1779792814.766087 cmd_parse_build_commands 0:3 0:32: New At End
1779792814.766090 cmd_parse_build_commands 0:3 0:33: W
1779792814.766093 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1779792814.766098 cmd_parse_build_commands 0:0: display-menu
1779792814.766701 cmd_parse_build_commands 0:1: -t=
1779792814.766706 cmd_parse_build_commands 0:2: -xW
1779792814.766709 cmd_parse_build_commands 0:3: -yW
1779792814.766712 cmd_parse_build_commands 0:4: -T
1779792814.766720 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1779792814.766724 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1779792814.766727 cmd_parse_build_commands 0:7: l
1779792814.766730 cmd_parse_build_commands 0:8 0:0: swap-window
1779792814.766733 cmd_parse_build_commands 0:8 0:1: -t:-1
1779792814.766737 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1779792814.766740 cmd_parse_build_commands 0:10: r
1779792814.766743 cmd_parse_build_commands 0:11 0:0: swap-window
1779792814.766746 cmd_parse_build_commands 0:11 0:1: -t:+1
1779792814.766750 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1779792814.766752 cmd_parse_build_commands 0:13: s
1779792814.766756 cmd_parse_build_commands 0:14 0:0: swap-window
1779792814.766759 cmd_parse_build_commands 0:15: 
1779792814.766762 cmd_parse_build_commands 0:16: Kill
1779792814.766765 cmd_parse_build_commands 0:17: X
1779792814.766768 cmd_parse_build_commands 0:18 0:0: kill-window
1779792814.766771 cmd_parse_build_commands 0:19: Respawn
1779792814.766774 cmd_parse_build_commands 0:20: R
1779792814.766778 cmd_parse_build_commands 0:21 0:0: respawn-window
1779792814.766781 cmd_parse_build_commands 0:21 0:1: -k
1779792814.766784 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1779792814.766787 cmd_parse_build_commands 0:23: m
1779792814.766790 cmd_parse_build_commands 0:24 0:0: select-pane
1779792814.766793 cmd_parse_build_commands 0:24 0:1: -m
1779792814.766796 cmd_parse_build_commands 0:25: Rename
1779792814.766799 cmd_parse_build_commands 0:26: n
1779792814.766802 cmd_parse_build_commands 0:27 0:0: command-prompt
1779792814.766805 cmd_parse_build_commands 0:27 0:1: -FI
1779792814.766809 cmd_parse_build_commands 0:27 0:2: #W
1779792814.766812 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1779792814.766815 cmd_parse_build_commands 0:27 0:3 0:1: -t
1779792814.766821 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1779792814.766829 cmd_parse_build_commands 0:27 0:3 0:3: --
1779792814.766832 cmd_parse_build_commands 0:27 0:3 0:4: %%
1779792814.766835 cmd_parse_build_commands 0:28: 
1779792814.766838 cmd_parse_build_commands 0:29: New After
1779792814.766841 cmd_parse_build_commands 0:30: w
1779792814.766845 cmd_parse_build_commands 0:31 0:0: new-window
1779792814.766848 cmd_parse_build_commands 0:31 0:1: -a
1779792814.766851 cmd_parse_build_commands 0:32: New At End
1779792814.766854 cmd_parse_build_commands 0:33: W
1779792814.766857 cmd_parse_build_commands 0:34 0:0: new-window
1779792814.766862 cmd_parse_build_commands 0:0: swap-window
1779792814.766865 cmd_parse_build_commands 0:1: -t:-1
1779792814.766871 args_parse_flags: next -t:-1
1779792814.766874 args_parse_flag_argument: -t = :-1
1779792814.766877 args_parse: flags end at 2 of 2
1779792814.766884 cmd_parse_build_commands: swap-window -t :-1
1779792814.766888 cmd_parse_build_commands 0:0: swap-window
1779792814.766891 cmd_parse_build_commands 0:1: -t:+1
1779792814.766896 args_parse_flags: next -t:+1
1779792814.766899 args_parse_flag_argument: -t = :+1
1779792814.766902 args_parse: flags end at 2 of 2
1779792814.766906 cmd_parse_build_commands: swap-window -t :+1
1779792814.766910 cmd_parse_build_commands 0:0: swap-window
1779792814.766915 args_parse: flags end at 1 of 1
1779792814.766919 cmd_parse_build_commands: swap-window
1779792814.766923 cmd_parse_build_commands 0:0: kill-window
1779792814.766929 args_parse: flags end at 1 of 1
1779792814.766932 cmd_parse_build_commands: kill-window
1779792814.766936 cmd_parse_build_commands 0:0: respawn-window
1779792814.766939 cmd_parse_build_commands 0:1: -k
1779792814.766943 args_parse_flags: next -k
1779792814.766946 args_parse_flags: -k
1779792814.766949 args_parse: flags end at 2 of 2
1779792814.766953 cmd_parse_build_commands: respawn-window -k
1779792814.766957 cmd_parse_build_commands 0:0: select-pane
1779792814.766960 cmd_parse_build_commands 0:1: -m
1779792814.766964 args_parse_flags: next -m
1779792814.766967 args_parse_flags: -m
1779792814.766970 args_parse: flags end at 2 of 2
1779792814.766974 cmd_parse_build_commands: select-pane -m
1779792814.766982 cmd_parse_build_commands 0:0: command-prompt
1779792814.766985 cmd_parse_build_commands 0:1: -FI
1779792814.766988 cmd_parse_build_commands 0:2: #W
1779792814.766992 cmd_parse_build_commands 0:3 0:0: rename-window
1779792814.766995 cmd_parse_build_commands 0:3 0:1: -t
1779792814.766998 cmd_parse_build_commands 0:3 0:2: #{window_id}
1779792814.767001 cmd_parse_build_commands 0:3 0:3: --
1779792814.767004 cmd_parse_build_commands 0:3 0:4: %%
1779792814.767008 cmd_parse_build_commands 0:0: rename-window
1779792814.767011 cmd_parse_build_commands 0:1: -t
1779792814.767014 cmd_parse_build_commands 0:2: #{window_id}
1779792814.767017 cmd_parse_build_commands 0:3: --
1779792814.767020 cmd_parse_build_commands 0:4: %%
1779792814.767025 args_parse_flags: next -t
1779792814.767029 args_parse_flag_argument: -t = #{window_id}
1779792814.767031 args_parse_flags: next --
1779792814.767034 args_parse: flags end at 4 of 5
1779792814.767037 args_parse: 4 = %% (type STRING)
1779792814.767044 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1779792814.767047 args_parse_flags: next -FI
1779792814.767050 args_parse_flags: -F
1779792814.767053 args_parse_flag_argument: -I = #W
1779792814.767056 args_parse: flags end at 3 of 4
1779792814.767062 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1779792814.767070 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1779792814.767075 cmd_parse_build_commands 0:0: new-window
1779792814.767078 cmd_parse_build_commands 0:1: -a
1779792814.767082 args_parse_flags: next -a
1779792814.767085 args_parse_flags: -a
1779792814.767088 args_parse: flags end at 2 of 2
1779792814.767092 cmd_parse_build_commands: new-window -a
1779792814.767097 cmd_parse_build_commands 0:0: new-window
1779792814.767102 args_parse: flags end at 1 of 1
1779792814.767109 cmd_parse_build_commands: new-window
1779792814.767112 args_parse_flags: next -t=
1779792814.767115 args_parse_flag_argument: -t = =
1779792814.767118 args_parse_flags: next -xW
1779792814.767121 args_parse_flag_argument: -x = W
1779792814.767124 args_parse_flags: next -yW
1779792814.767127 args_parse_flag_argument: -y = W
1779792814.767130 args_parse_flags: next -T
1779792814.767133 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1779792814.767137 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1779792814.767140 args_parse: flags end at 6 of 35
1779792814.767143 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1779792814.767147 args_parse: 7 = l (type STRING)
1779792814.767152 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1779792814.767155 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1779792814.767159 args_parse: 10 = r (type STRING)
1779792814.767163 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1779792814.767167 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1779792814.767170 args_parse: 13 = s (type STRING)
1779792814.767174 args_parse: 14 = swap-window (type COMMANDS)
1779792814.767177 args_parse: 15 =  (type STRING)
1779792814.767181 args_parse: 16 = Kill (type STRING)
1779792814.767184 args_parse: 17 = X (type STRING)
1779792814.767188 args_parse: 18 = kill-window (type COMMANDS)
1779792814.767191 args_parse: 19 = Respawn (type STRING)
1779792814.767194 args_parse: 20 = R (type STRING)
1779792814.767198 args_parse: 21 = respawn-window -k (type COMMANDS)
1779792814.767202 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1779792814.767205 args_parse: 23 = m (type STRING)
1779792814.767209 args_parse: 24 = select-pane -m (type COMMANDS)
1779792814.767212 args_parse: 25 = Rename (type STRING)
1779792814.767216 args_parse: 26 = n (type STRING)
1779792814.767240 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1779792814.767247 args_parse: 28 =  (type STRING)
1779792814.767250 args_parse: 29 = New After (type STRING)
1779792814.767254 args_parse: 30 = w (type STRING)
1779792814.767258 args_parse: 31 = new-window -a (type COMMANDS)
1779792814.767263 args_parse: 32 = New At End (type STRING)
1779792814.767266 args_parse: 33 = W (type STRING)
1779792814.767270 args_parse: 34 = new-window (type COMMANDS)
1779792814.767312 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1779792814.767317 args_parse_flags: next -n
1779792814.767319 args_parse_flags: -n
1779792814.767322 args_parse_flags: next MouseDown3Status
1779792814.767325 args_parse: flags end at 2 of 4
1779792814.767329 args_parse: 2 = MouseDown3Status (type STRING)
1779792814.767370 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1779792814.767410 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1779792814.767423 cmdq_get_command: [bind-key/0x648c98b3dc10] group 1026
1779792814.767426 cmdq_append <global>: [bind-key/0x648c98b3dc10]
1779792814.767437 yylex_token: end at WS
